label,cmd_x,cmd_y,cmd_z,cmd_roll,cmd_pitch,cmd_yaw,reached
ANCHOR,32.2059,-97.3454,-4.7339,23.5266,25.767,0.0,N/A
P1_C0_x0y0z0_nom,32.2059,-97.3454,-4.7339,23.5266,25.767,0.0,True
P1_C1_x1y0z0_nom,56.2059,-97.3454,-4.7339,23.5266,25.767,0.0,True
P1_C2_x0y1z0_nom,32.2059,-73.3454,-4.7339,23.5266,25.767,0.0,False
P1_C3_x1y1z0_nom,56.2059,-73.3454,-4.7339,23.5266,25.767,0.0,False
P1_C4_x0y0z1_nom,32.2059,-97.3454,19.2661,23.5266,25.767,0.0,False
P1_C5_x1y0z1_nom,56.2059,-97.3454,19.2661,23.5266,25.767,0.0,False
P1_C6_x0y1z1_nom,32.2059,-73.3454,19.2661,23.5266,25.767,0.0,False
P1_C7_x1y1z1_nom,56.2059,-73.3454,19.2661,23.5266,25.767,0.0,False
P2_center_nom,32.2059,-97.3454,-4.7339,23.5266,25.767,0.0,True
P2_center_rP,32.2059,-97.3454,-4.7339,33.5266,25.767,0.0,False
P2_center_rN,32.2059,-97.3454,-4.7339,13.5266,25.767,0.0,True
P2_center_pP,32.2059,-97.3454,-4.7339,23.5266,35.767,0.0,True
P2_center_pN,32.2059,-97.3454,-4.7339,23.5266,15.767,0.0,True
P2_center_rPpP,32.2059,-97.3454,-4.7339,33.5266,35.767,0.0,False
P2_center_rPpN,32.2059,-97.3454,-4.7339,33.5266,15.767,0.0,False
P2_center_rNpP,32.2059,-97.3454,-4.7339,13.5266,35.767,0.0,True
P2_center_rNpN,32.2059,-97.3454,-4.7339,13.5266,15.767,0.0,True
