sample,stamp_sec,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,roll_deg,pitch_deg,yaw_deg
1,1779220207.940428,-12.431754,-116.631900,-6.221853,0.076190051,0.178269582,-0.013846422,0.980929818,8.882637,20.600500,-0.000000
2,1779220329.765435,-6.978489,-113.209154,-9.781774,0.022392705,0.283000908,-0.006609222,0.958835424,2.675692,32.888000,0.000000
3,1779220343.067605,-8.878452,-107.800168,-9.957265,-0.049432537,0.248817312,0.012716722,0.967204557,-5.851531,28.853500,0.000000
4,1779220355.331354,-15.295817,-105.503635,-8.165162,-0.083815721,0.116811485,0.009893916,0.989561576,-9.682777,13.464500,0.000000
5,1779220372.469532,-23.174267,-105.386460,-7.198319,-0.079618442,-0.026937283,-0.002152326,0.996459058,-9.136612,-3.097000,-0.000000
6,1779220384.499179,-26.552820,-113.620250,-4.829026,0.027880264,-0.078806691,0.002204874,0.996497534,3.205236,-9.043500,0.000000
7,1779220390.837547,-26.766315,-119.588317,-4.288135,0.116564673,-0.077406873,0.009112942,0.990120097,13.428801,-8.940500,0.000000
8,1779220403.995985,-22.647558,-125.227915,-4.743903,0.225749428,-0.010940998,0.002535542,0.974120661,26.095577,-1.287000,0.000000
9,1779220414.021569,-9.962251,-129.958842,-10.056947,0.312219352,0.206650240,-0.069779281,0.924632687,37.316413,25.196500,0.000000
10,1779220423.766721,-1.137885,-123.881601,-15.203217,0.186338413,0.396316030,-0.082493096,0.895213097,23.516419,47.758500,0.000000
11,1779220432.788988,2.082736,-114.583280,-19.351131,0.048307488,0.487879326,-0.027054047,0.871153390,6.347868,58.501000,0.000000
12,1779220454.419847,-1.704012,-107.161942,-16.194185,-0.050707266,0.410726168,0.022885088,0.910059922,-6.378286,48.581000,0.000000
13,1779220482.467726,0.081558,-118.029852,-16.648777,0.090847294,0.452758068,-0.046435901,0.885776839,11.711821,54.147000,-0.000000
14,1779220490.235265,-5.715559,-129.602043,-13.365167,0.278352804,0.319003144,-0.098598602,0.900574831,34.351030,39.010500,0.000000
